ts_code,trade_date,open,high,low,close,vol,amount
000001.SZ,20231229,9.42,9.48,9.35,9.39,853852.79,803196.744
000001.SZ,20231228,9.11,9.47,9.08,9.45,1661591.84,1550256.591
000001.SZ,20231227,9.1,9.13,9.02,9.12,641534.35,582036.661
000001.SZ,20231226,9.19,9.2,9.07,9.1,541896.33,493746.623
000001.SZ,20231225,9.18,9.2,9.14,9.19,413970.88,379638.234
000001.SZ,20231222,9.19,9.28,9.11,9.2,1005645.02,924998.769
000001.SZ,20231221,9.01,9.19,8.99,9.17,1017046.76,925407.073
000001.SZ,20231220,9.11,9.15,9.03,9.03,715633.63,650511.343
000001.SZ,20231219,9.12,9.17,9.07,9.1,644070.88,586716.664
000001.SZ,20231218,9.18,9.24,9.09,9.13,654425.62,599379.044
000001.SZ,20231215,9.2,9.35,9.19,9.21,988939.42,915126.127
000001.SZ,20231214,9.21,9.28,9.15,9.15,742900.56,683211.466
000001.SZ,20231213,9.38,9.39,9.15,9.16,1061301.65,981001.231
000001.SZ,20231212,9.31,9.5,9.3,9.42,855016.42,805067.628
000001.SZ,20231211,9.22,9.38,9.13,9.35,1133662.81,1044765.735
000001.SZ,20231208,9.41,9.45,9.3,9.3,1021151.5,957664.581
000001.SZ,20231207,9.49,9.49,9.38,9.44,585380.19,552224.831
000001.SZ,20231206,9.44,9.57,9.4,9.5,753055.92,714029.469
000001.SZ,20231205,9.61,9.62,9.47,9.48,787378.48,750961.22
000001.SZ,20231204,9.67,9.68,9.61,9.63,605437.85,583664.338
000001.SZ,20231201,9.65,9.68,9.58,9.66,778056.99,749668.364
000001.SZ,20231130,9.69,9.73,9.62,9.68,901764.57,871481.712
000001.SZ,20231129,9.95,9.97,9.7,9.72,1467596.62,1438320.264
000001.SZ,20231128,9.99,10.02,9.95,9.95,786174.69,784405.805
000001.SZ,20231127,10.09,10.09,9.97,10.01,836187.85,836268.369
000001.SZ,20231124,10.11,10.13,10.08,10.1,684694.56,691423.444
000001.SZ,20231123,10.15,10.16,10.07,10.15,846655.87,855904.312
000001.SZ,20231122,10.26,10.31,10.14,10.16,737489.51,753064.758
000001.SZ,20231121,10.23,10.35,10.22,10.28,1041165.73,1072311.504
000001.SZ,20231120,10.15,10.22,10.1,10.19,639528.31,650077.37
000001.SZ,20231117,10.22,10.25,10.12,10.15,903362.17,917616.681
000001.SZ,20231116,10.38,10.39,10.23,10.24,922621.94,948395.097
000001.SZ,20231115,10.37,10.45,10.34,10.37,1109140.15,1152154.78
000001.SZ,20231114,10.24,10.33,10.23,10.27,596858.88,613377.698
000001.SZ,20231113,10.31,10.33,10.22,10.25,770043.1,789007.118
000001.SZ,20231110,10.45,10.47,10.29,10.3,1045044.17,1080649.734
000001.SZ,20231109,10.46,10.52,10.43,10.49,639136.48,669639.052
000001.SZ,20231108,10.58,10.6,10.45,10.5,877818.75,923622.008
000001.SZ,20231107,10.66,10.66,10.58,10.6,640866.12,679815.569
000001.SZ,20231106,10.51,10.69,10.51,10.69,1007062.21,1069206.838
000001.SZ,20231103,10.49,10.52,10.43,10.48,705463.47,738879.704
000001.SZ,20231102,10.5,10.6,10.47,10.48,619429.95,652316.67
000001.SZ,20231101,10.55,10.56,10.45,10.48,567300.35,595211.885
000001.SZ,20231031,10.43,10.49,10.41,10.46,652855.23,682212.138
000001.SZ,20231030,10.4,10.47,10.35,10.45,805689.55,837646.002
000001.SZ,20231027,10.38,10.48,10.33,10.45,919771.36,957587.534
000001.SZ,20231026,10.31,10.42,10.3,10.41,599991.47,621915.277
000001.SZ,20231025,10.51,10.54,10.36,10.38,1411449.68,1470971.924
000001.SZ,20231024,10.54,10.61,10.44,10.55,760652.69,801528.404
000001.SZ,20231023,10.59,10.6,10.43,10.5,530404.48,557032.229
000001.SZ,20231020,10.55,10.67,10.51,10.6,526139.12,557618.632
000001.SZ,20231019,10.91,10.92,10.59,10.6,1188960.83,1271914.677
000001.SZ,20231018,10.99,11.02,10.91,10.95,651824.92,713979.896
000001.SZ,20231017,11.01,11.05,10.96,11.02,493525.05,543170.901
000001.SZ,20231016,11.0,11.03,10.95,11.01,501624.32,550988.72
000001.SZ,20231013,11.03,11.07,10.95,11.0,684483.08,753110.726
000001.SZ,20231012,11.11,11.16,11.04,11.11,853057.5,947562.325
000001.SZ,20231011,11.09,11.09,10.96,10.98,724115.69,797663.827
000001.SZ,20231010,11.19,11.2,11.02,11.02,820748.51,910160.342
000001.SZ,20231009,11.16,11.17,11.06,11.11,695828.09,772959.353
000001.SZ,20230928,11.19,11.24,11.18,11.2,520696.78,583649.73
000001.SZ,20230927,11.15,11.22,11.15,11.17,490310.61,547905.821
000001.SZ,20230926,11.22,11.26,11.14,11.16,444980.35,497885.811
000001.SZ,20230925,11.24,11.32,11.19,11.22,761211.25,856022.502
000001.SZ,20230922,11.03,11.25,11.03,11.24,911484.3,1017137.922
000001.SZ,20230921,11.14,11.14,11.04,11.05,843930.11,934673.194
000001.SZ,20230920,11.2,11.22,11.15,11.15,558872.41,624785.495
000001.SZ,20230919,11.22,11.23,11.16,11.21,503664.32,564044.044
000001.SZ,20230918,11.22,11.24,11.14,11.23,501325.01,561449.77
000001.SZ,20230915,11.35,11.4,11.2,11.22,890476.13,1005529.161
000001.SZ,20230914,11.28,11.33,11.25,11.29,551650.17,622906.053
000001.SZ,20230913,11.29,11.32,11.21,11.25,490217.97,551747.628
000001.SZ,20230912,11.35,11.35,11.25,11.28,495485.06,559058.536
000001.SZ,20230911,11.3,11.4,11.27,11.34,654485.58,741764.911
000001.SZ,20230908,11.28,11.32,11.23,11.27,479029.67,539624.963
000001.SZ,20230907,11.4,11.44,11.32,11.33,540041.57,613812.176
000001.SZ,20230906,11.33,11.46,11.3,11.43,634840.51,721905.682
000001.SZ,20230905,11.5,11.51,11.36,11.39,804177.16,917888.859
000001.SZ,20230904,11.35,11.59,11.33,11.56,1410029.23,1621769.196
000001.SZ,20230901,11.19,11.36,11.19,11.32,1138704.83,1285169.019
000001.SZ,20230831,11.14,11.22,11.12,11.13,806474.03,900123.575
000001.SZ,20230830,11.27,11.27,11.13,11.13,1375638.29,1537573.551
000001.SZ,20230829,11.47,11.49,11.13,11.31,1964961.43,2217588.61
000001.SZ,20230828,11.84,11.93,11.49,11.52,1997609.87,2336205.801
000001.SZ,20230825,11.1,11.33,11.08,11.23,845349.92,946760.251
000001.SZ,20230824,11.29,11.32,11.05,11.13,1291270.7,1439197.084
000001.SZ,20230823,11.35,11.42,11.24,11.25,691809.98,783102.827
000001.SZ,20230822,11.38,11.45,11.31,11.37,606808.09,689991.238
000001.SZ,20230821,11.56,11.58,11.32,11.32,701497.85,799641.424
000001.SZ,20230818,11.58,11.74,11.53,11.56,659818.85,767047.287
000001.SZ,20230817,11.67,11.7,11.46,11.57,965057.75,1116292.662
000001.SZ,20230816,11.67,11.85,11.61,11.73,572904.37,671706.045
000001.SZ,20230815,11.69,11.8,11.6,11.73,712812.77,834163.04
000001.SZ,20230814,11.76,11.78,11.59,11.67,975920.18,1139185.249
000001.SZ,20230811,12.17,12.27,11.89,11.89,943538.57,1132867.239
000001.SZ,20230810,12.15,12.21,12.06,12.16,475594.53,577123.92
000001.SZ,20230809,12.06,12.2,12.05,12.17,577607.74,702060.797
000001.SZ,20230808,12.12,12.21,12.0,12.1,725704.56,877489.188
000001.SZ,20230807,12.21,12.25,12.12,12.16,646913.26,786506.452
